"Prod","App-DB-Cluster","Clipboard","ServerName 1"
"Prod","Rpt-DB-Cluster","Clipboard","ServerName 2"
"Prod","App-UI-Server","Clipboard","ServerName 4"
"Stage","App-DB-Cluster","Clipboard","ServerName 1"
"Stage","Rpt-DB-Cluster","Clipboard","ServerName 2"
"Stage","App-API-Server","Clipboard","ServerName 3"
"Stage","App-UI-Server","Clipboard","ServerName 4"
"Test","App-DB-Cluster","Clipboard","ServerName 1"
"Test","Rpt-DB-Cluster","Clipboard","ServerName 2"
"Test","App-API-Server","Clipboard","ServerName 3"
"Test","App-UI-Server","Clipboard","ServerName 4"
"Dev","App-DB-Cluster","Clipboard","ServerName 1"
"Dev","Rpt-DB-Cluster","Clipboard","ServerName 2"
"Dev","App-API-Server","Clipboard","ServerName 3"
"Dev","App-UI-Server","Clipboard","ServerName 4"
